iter	RMSE
2814	0.05215444616
2815	0.05213724867
2816	0.05212752612
2817	0.05210974895
2818	0.05209580027
2819	0.05209062841
2820	0.05205979666
2821	0.0520437814
2822	0.05203155391
2823	0.05202751822
2824	0.05201157432
2825	0.05200050355
2826	0.05198641942
2827	0.05197100533
2828	0.05196658791
2829	0.05195468402
2830	0.05194719097
2831	0.05194144393
2832	0.0519238503
2833	0.05192043752
2834	0.05190305833
2835	0.05188734545
2836	0.05186634666
2837	0.05185124097
2838	0.05184429602
2839	0.05183158934
2840	0.05182621082
2841	0.05181339112
2842	0.05180159457
2843	0.05179009554
2844	0.05176847532
2845	0.05176383661
2846	0.05175585149
2847	0.05173920676
2848	0.05172988766
2849	0.05171341798
2850	0.05170351161
2851	0.05169637377
2852	0.0516819416
2853	0.05167494826
2854	0.05166660988
2855	0.05165521786
2856	0.05163964656
2857	0.05163130025
2858	0.05161946744
2859	0.05160058631
2860	0.05158972895
2861	0.0515784673
2862	0.05157008153
2863	0.05156020473
2864	0.05155313955
2865	0.05154785797
2866	0.05153033765
2867	0.0515135762
2868	0.05150219608
2869	0.05148618039
2870	0.05147855377
2871	0.05147378263
2872	0.05146041464
2873	0.0514468674
2874	0.0514375609
2875	0.05142864771
2876	0.05141205036
2877	0.05140485776
2878	0.05139256524
2879	0.05138862666
2880	0.0513787423
2881	0.05136668997
2882	0.05135671992
2883	0.05134430604
2884	0.05133325241
2885	0.05131946282
2886	0.05131289789
2887	0.05129470725
2888	0.05128425647
2889	0.05126862845
2890	0.05125067322
2891	0.05124715133
2892	0.05123467693
2893	0.05122250496
2894	0.05120450418
2895	0.0512004368
2896	0.05118323742
2897	0.0511728374
2898	0.0511568651
2899	0.05114798424
2900	0.05113678102
2901	0.05112557126
2902	0.05111756345
2903	0.05111177762
2904	0.05109124885
2905	0.05108472523
2906	0.05107142675
2907	0.05105825707
2908	0.05104614533
2909	0.05103802263
2910	0.05102765508
2911	0.05101903902
2912	0.0510128416
2913	0.05100833867
2914	0.05100184015
2915	0.05097927974
2916	0.05097498433
2917	0.05096836466
2918	0.05095249005
2919	0.05094828551
2920	0.05094006584
2921	0.05092647974
2922	0.05091462364
2923	0.05091111382
2924	0.0509056357
2925	0.05089305241
2926	0.05088870316
2927	0.0508775224
2928	0.05087075125
2929	0.05086013391
2930	0.0508542738
2931	0.05082771312
2932	0.05082092325
2933	0.05080666115
2934	0.05080085636
2935	0.0507931196
2936	0.05078714669
2937	0.05077138118
2938	0.05076353895
2939	0.05075212678
2940	0.0507486421
2941	0.05073274439
2942	0.0507221124
2943	0.05070608341
2944	0.05070027779
2945	0.05068337538
2946	0.05067291342
2947	0.05066364362
2948	0.05065110097
2949	0.05063688732
2950	0.05062667337
2951	0.05062371408
2952	0.05061165168
2953	0.0505999951
2954	0.05059125248
2955	0.05057800016
2956	0.05055797308
2957	0.05054688566
2958	0.05054107539
2959	0.05052548932
2960	0.05051983667
2961	0.05050631609
2962	0.05049754277
2963	0.05048864013
2964	0.05047940609
2965	0.05047073908
2966	0.05045678517
2967	0.05044988402
2968	0.05043670083
2969	0.05042263889
2970	0.05040228768
2971	0.05039990796
2972	0.05039225855
2973	0.05038014363
2974	0.05037185114
2975	0.05035582835
2976	0.05035414811
2977	0.05033853784
2978	0.05033535824
2979	0.05032705214
2980	0.0503176494
2981	0.05029969012
2982	0.05027991887
2983	0.05026963384
2984	0.05026364079
2985	0.05025990095
2986	0.05025432112
2987	0.0502490157
2988	0.05024253579
2989	0.05023182826
2990	0.0502234275
2991	0.05021506831
2992	0.05020176109
2993	0.05019432788
2994	0.05018674786
2995	0.05017883209
2996	0.0501709662
2997	0.05016788083
2998	0.05016362687
2999	0.05015695636
3000	0.05012352992
3001	0.05011075853
3002	0.05010008411
3003	0.05009215507
3004	0.05007819238
3005	0.05007490654
3006	0.05005657725
3007	0.050039671
3008	0.05002723317
3009	0.05001890852
3010	0.05000755414
3011	0.05000320379
